id,part_number,part_name,width,color,position_name,hook_start,hook_end
5,1539359,CIRCLE AS,30,AMARELO,Prog.,10,11
5,1539359,CIRCLE AS,30,AMARELO,Prog.,2,3
5,1539359,CIRCLE AS,30,AMARELO,Prog.,4,5
5,1539359,CIRCLE AS,30,AMARELO,Prog.,7,8
6,1539360,CIRCLE AS,20,AMARELO,Prog.,10,11
6,1539360,CIRCLE AS,20,AMARELO,Prog.,2,3
6,1539360,CIRCLE AS,20,AMARELO,Prog.,4,5
6,1539360,CIRCLE AS,20,AMARELO,Prog.,7,8
8,1694092,BLADE AS-STR,20,AMARELO,Prog.,2,5
8,1694092,BLADE AS-STR,20,AMARELO,Prog.,7,10
13,2436650,CIRCLE AS,20,AMARELO,Prog.,10,11
13,2436650,CIRCLE AS,20,AMARELO,Prog.,2,3
13,2436650,CIRCLE AS,20,AMARELO,Prog.,4,5
13,2436650,CIRCLE AS,20,AMARELO,Prog.,7,8
14,2436670,CIRCLE AS,20,AMARELO,Prog.,10,11
14,2436670,CIRCLE AS,20,AMARELO,Prog.,2,3
14,2436670,CIRCLE AS,20,AMARELO,Prog.,4,5
14,2436670,CIRCLE AS,20,AMARELO,Prog.,7,8
19,2458152,BLADE AS - SU,40,AMARELO,Prog.,1,6
21,2534651,DRAWBAR AS,40,AMARELO,Prog.,3,5
21,2534651,DRAWBAR AS,40,AMARELO,Prog.,9,11
23,2607792,MOLDBOARD AS,20,AMARELO,Prog.,1,6
23,2607792,MOLDBOARD AS,20,AMARELO,Prog.,7,11
24,2607793,MOLDBOARD AS,20,AMARELO,Prog.,1,6
24,2607793,MOLDBOARD AS,20,AMARELO,Prog.,7,11
25,2607794,MOLDBOARD AS,20,AMARELO,Prog.,1,6
25,2607794,MOLDBOARD AS,20,AMARELO,Prog.,7,11
26,2651070,CIRCLE AS,20,AMARELO,Prog.,10,11
26,2651070,CIRCLE AS,20,AMARELO,Prog.,2,3
26,2651070,CIRCLE AS,20,AMARELO,Prog.,4,5
26,2651070,CIRCLE AS,20,AMARELO,Prog.,7,8
32,2850592,TANDEM GP-COVER,50,AMARELO,Prog.,10,11
32,2850592,TANDEM GP-COVER,50,AMARELO,Prog.,2,3
32,2850592,TANDEM GP-COVER,50,AMARELO,Prog.,4,5
32,2850592,TANDEM GP-COVER,50,AMARELO,Prog.,7,8
33,2850596,TANDEM GP-COVER&,50,AMARELO,Prog.,10,11
33,2850596,TANDEM GP-COVER&,50,AMARELO,Prog.,2,3
33,2850596,TANDEM GP-COVER&,50,AMARELO,Prog.,4,5
